pseudonymous_id,as_of_date,split,label,welfare_concern_30d,risk_tier,calibrated_score,probability_score,avg_duty_hours_4wk,consecutive_night_shifts,days_since_last_leave,deployment_duration_days,transfers_last_12mo,training_load_4wk,wellness_score_trend,sleep_score_trend,sudden_wellness_drop,total_duty_hours_4wk,duty_irregularity_index,workload_trend_4wk,leave_utilization_rate,active_deployment_hardship,stress_self_rating_trend,latest_mood_score,latest_sleep_quality,latest_stress_self_rating,help_requested_recent,self_report_recency_days,service_number,rank
070ad95e-29db-45b2-979a-1b845c3baba2,2026-01-21,train,0,False,low,18,0.0267,8.89,0,365.0,0,0,22.7,-0.5,0.0,0,151.2,1.86,0.0,0.0,0,0.0,4.0,5.0,3.0,0,1.0,SN-100039,Pte
1338d9f8-e125-460c-a7b7-b13d6ebe7b67,2026-01-21,train,0,False,low,37,0.0958,8.82,0,365.0,0,0,3.8,-0.0,0.0,0,150.0,1.12,0.0,0.0,0,1.0,4.0,3.0,5.0,0,1.0,SN-100046,Cpl
16feb681-c445-4288-b994-d95d814f7b25,2026-01-21,train,0,False,moderate,51,0.1944,9.19,0,365.0,0,0,11.1,0.0,-0.5,0,156.3,1.54,0.0,0.0,0,0.5,3.0,4.0,4.0,0,2.0,SN-100031,Capt
1ccca2ef-bafe-4608-8c90-ca915483641f,2026-01-21,train,0,False,low,21,0.033,9.18,0,365.0,0,0,16.8,-0.0,-0.5,0,156.1,1.86,0.0,0.0,0,0.0,4.0,3.0,2.0,0,1.0,SN-100022,WO2
1fcad298-5dca-4a2a-844e-5ef6a36cd8eb,2026-01-21,train,0,False,moderate,58,0.2718,10.07,1,365.0,0,0,29.3,-0.5,-0.5,0,181.2,2.73,0.0,0.0,0,0.0,3.0,3.0,5.0,1,2.0,SN-100015,SSgt
20d8aaf0-5b95-4804-8c75-9a93518ca3ec,2026-01-21,train,1,True,high,82,0.8344,9.64,2,365.0,0,0,19.3,-1.5,1.0,1,163.9,2.19,0.0,0.0,0,-0.5,1.0,4.0,3.0,1,1.0,SN-100034,Maj
2a3662bb-3e9c-4059-96ed-a6fc60917de7,2026-01-21,train,0,False,low,45,0.1471,9.36,0,365.0,0,0,8.4,-0.0,-0.0,0,168.5,1.26,0.0,0.0,0,-1.0,4.0,4.0,2.0,0,3.0,SN-100017,Pte
2d66e083-3c9f-46b2-bba4-c90b6e25ff69,2026-01-21,train,0,False,moderate,57,0.2684,10.46,1,365.0,0,0,6.0,-0.0,0.0,0,167.3,2.89,0.0,0.0,0,0.5,4.0,3.0,5.0,0,3.0,SN-100029,WO1
4494bc6e-3d0d-425e-8d18-b856f5e83356,2026-01-21,train,0,False,low,26,0.0453,9.89,1,365.0,0,0,29.1,0.5,-0.5,0,148.4,2.16,0.0,0.0,0,-0.5,4.0,4.0,3.0,0,2.0,SN-100005,Pte
45ad8569-ef44-4e61-939f-51d9e4a14686,2026-01-21,train,0,False,low,48,0.1823,9.77,0,365.0,2,0,7.5,-0.0,1.0,0,156.3,2.14,0.0,0.0,1,1.0,4.0,4.0,4.0,0,0.0,SN-100003,WO1
496c28eb-4211-4e2e-81d0-a22d9bc59ef8,2026-01-21,train,0,False,low,30,0.0588,9.01,1,365.0,0,0,9.9,0.0,0.5,0,153.1,1.56,0.0,0.0,0,0.0,3.0,4.0,3.0,0,3.0,SN-100006,Lt
4ab96b1e-eca6-4582-a326-96eaae1536b8,2026-01-21,train,0,False,low,33,0.0707,8.68,1,365.0,0,0,17.4,-0.0,0.0,0,147.5,0.93,0.0,0.0,0,-1.0,4.0,3.0,3.0,0,2.0,SN-100026,Sgt
4d35925f-dc08-4701-9635-b21566f083c8,2026-01-21,train,0,False,low,37,0.0922,10.17,0,365.0,0,0,17.2,-0.0,0.0,0,193.2,2.69,0.0,0.0,0,0.5,4.0,3.0,5.0,0,1.0,SN-100021,WO1
4d50a6b5-8fdd-4d91-add7-70f9fca5875e,2026-01-21,train,0,False,low,41,0.116,8.76,0,365.0,0,0,17.7,-0.0,0.5,0,149.0,0.83,0.0,0.0,0,0.5,4.0,4.0,5.0,1,3.0,SN-100023,SSgt
5afd666b-497f-46ed-b98f-7d4ca698ae5e,2026-01-21,train,0,False,low,26,0.0457,8.96,0,365.0,0,0,23.2,0.5,-0.5,0,143.3,1.51,0.0,0.0,0,0.0,5.0,3.0,5.0,0,3.0,SN-100008,LCpl
