id,person_id,role
c964db5b-b2c3-481b-99b9-132dc6ab7efd,888a77fa-ac59-4672-9794-c619c37e04c0,personnel
7ee104bf-b4d6-41bc-b9a5-94dc46532156,33ac9f28-11c9-4b64-957a-de04b086d442,personnel
b0911516-d67b-4660-9381-2db2e49b2e07,eabce13c-4adb-4b12-81b8-0938bfca6abe,personnel
f34fd61f-ae72-4301-9ea0-8c3dc4b9a35a,e175f1a2-a047-4ea5-b78a-3660375d3267,personnel
bee4caae-c69c-4341-b8a4-956d5c598487,c2a28b1a-f7e4-4f9f-88cb-197126ac7dc0,personnel
b516b6f1-1ab4-42dc-8826-2dd896c90819,d902fe26-f865-45d6-ba19-283fbb07e771,personnel
7db01eb8-22e8-451f-93c7-8e73d3444866,7e065321-e39a-446b-ac2d-20c55d579a99,personnel
51547cc9-8ec5-44c4-9d05-b22b07984df1,bcb442a4-ca5e-44a8-8757-6e62b0246346,personnel
49180f57-ef1c-4938-bc9a-70d665a0afd8,1264ea37-8301-4068-87c2-be3d35138633,personnel
0f5bf9e7-6cc1-4901-a1d7-41ef6f8b0e3c,e0514560-dd76-452a-9fd6-0cbdba84023d,personnel
e708b640-bf1d-449b-a27a-3524442603d2,a7ed9def-3d24-450a-82b5-e206963cb5ba,personnel
462ee486-4c91-42c5-88a5-5eb4a36173d9,5ed281b6-5c28-4eb1-ab5c-10c92dc61c34,personnel
dc3be067-3201-4ccf-860f-6afd3533103b,4d585e47-c381-4ec4-9bb9-7a661c9cf2cf,welfare_officer
8846f9ef-09ba-430f-b43f-9c469aeb87c3,aeae88e1-3849-4fc6-affc-6249ecfb5b6f,personnel
61734fb5-4c88-42ba-a497-38ebe5ef01fd,71cd99f6-cbfd-41e5-91d2-98d66180f279,personnel
3ab475c6-1f34-4afb-a44b-9994d2f6f24b,afbf3aaf-5762-4bf2-89ca-420d9ed5240a,personnel
f4840f20-0763-4dbe-8fad-dcb3790b1ad1,f2b8ae1a-50b0-46e8-a48b-1b4df75b770a,personnel
7cdd0880-a0e0-4a14-b4a4-be0e750de0b1,59aeb6de-3d6e-44fa-8425-683dd7d991a9,personnel
9b7e796e-9bd8-4aa0-b7dc-fe4dfee6a044,2ffae6b8-d8b4-42b9-b66a-d7b90f9fb8d7,personnel
0a8df192-93d1-4939-a2a2-442325e7f1c6,5c000094-ff1e-414c-8582-2b76c494a192,personnel
a95b97c5-f968-4395-b90c-eedccb67e8e9,7a849e13-2e0e-4523-a1f5-1e6c09ea2d30,welfare_officer
9f46ee11-0970-49f8-a5c4-ed5fd57112b3,ba7f4e45-ed23-4323-8caa-bcee9a8bc4ac,personnel
334acae0-89c2-471d-8dcb-471d1df769c7,a36a4cfe-8329-4bd9-93e1-5967663a8019,personnel
2c8885ec-d846-49fb-a172-d4ed7059239d,d921516e-03f2-4b69-9aad-a0df9b5a8a42,personnel
809b5937-c376-4597-9250-6ea9aac91da3,d2e82d8c-d682-40dc-9bf7-a1984b109416,personnel
ad68393f-07b4-40a1-9002-b986d81c9928,04293ef4-c1d0-4b80-a43c-7bc566275230,personnel
b0226d18-d55c-4530-9f96-22c36dc7602b,6a957d4c-9bff-4a75-be4b-6ca3a411b550,personnel
3cb7e577-fbce-4468-b6bb-2efc74a2d4b8,ee3b0eb6-3f7c-4172-81e0-18f93b229931,personnel
464c17ac-0f88-4f9b-a580-5e8f7b6f2661,51618e42-c4a0-4f66-a8df-b56dbf0f9e4c,personnel
7cbedcb6-de1f-471c-9207-7026f3f12d7a,35cb48cb-1187-4d66-a218-f77613e63f1a,personnel
f82cfed4-aec8-4994-b2e8-79a35ffeeb9a,3a7d673b-a591-44ec-aaf4-6be454be0927,personnel
78c7265c-ae0f-42ee-b097-a39baf913a4e,54c72902-6172-49ec-92bd-87b49b337d01,personnel
8161cd08-ce19-4e8b-a893-9d8e24ee022b,f34fbcd3-db4e-4495-9b88-2b67fd175e11,personnel
c7cea094-5f46-4099-bc24-1813f68f11b3,ba61d71d-3c65-4746-8713-f4c0149aec05,personnel
8bc9a66c-1a5c-447a-880e-b842b9f488f8,731dc842-094a-4a53-aa22-b1b78224a515,personnel
dffbdd5e-9532-459b-bef6-7f23c14c12d9,2d45f1db-0cf3-4c52-8947-0a1da882f5a5,personnel
6b67a04a-790d-4f4a-b6ce-525d2081a64e,e175789c-afec-466b-a0a8-5b08e591c7ea,personnel
c2b996bc-9f6e-449c-b3ca-377fc7282149,ab05f635-d79c-4145-a9ba-ca07d0b5ec21,personnel
8f7373d7-4b13-4249-affc-0fd4ad571afb,7c986119-9009-4449-a3ef-f8ad4aeffdbd,personnel
b40d2fd4-0fb9-4b70-a645-08ef70f956b0,85a9d8f8-625c-4746-922c-4914f99cdfac,personnel
b67a43bc-71ce-42e3-b31f-fc98da25fd92,3e7d644b-ba8a-4ce1-a62a-c11deb0dc220,welfare_officer
6933b5ab-c958-4af7-aa66-4e81bbef0719,cc5980fa-20bd-40b0-9761-04de8ef8ad36,personnel
a12a318d-548c-407b-b572-e380f58b6fc8,fcc10652-5452-44fb-a134-9b21de546efd,personnel
7a766879-39b2-4edc-9c3c-b3967d2f4b98,d972e185-5a47-4a08-973f-1b66bd809342,personnel
ab7ed8d9-3f89-4434-9f37-daaa7f4a4b03,dc31d954-c08b-402c-aaac-29f382fe94a2,personnel
9e91ed3e-b721-43bc-b5fb-33044310ba2a,60a1ae95-758b-406b-9e0e-c03ff7c138b2,personnel
e97bd562-79ec-453e-869e-5865f08d441b,a6b25b1c-81b3-45a1-bb3f-2653a195ebf1,personnel
a7aa4171-35fb-40ab-9f24-c71fe80164bf,b2ab8883-123d-4799-8159-66d3ed3dd597,personnel
f1bbde7e-0d9c-4bb2-a758-81ad1e100407,83748fc3-b097-49b2-8ddf-70df4922faf1,personnel
43a3d12b-e50e-4f8a-a6bf-c029c5169309,1b46092e-f7a5-417a-a6a4-54dad586e61f,personnel
