id,pseudonymous_id,transfer_date
5035ed41-3c03-4ea2-851c-a675c8fcbfb6,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-04-25
78a0ac47-5fe4-4c31-826a-4baca6372e55,a2a12189-ff88-4e74-b0fa-debe93d6b1be,2026-04-28
5a893c94-3cda-410e-9077-daee2185995a,776de020-0fd7-491a-8f35-c0dc5f24cc27,2026-02-05
ce1e3d11-18f0-40ac-b198-103c61335cb6,70951eb3-027c-4216-abb2-4e4b5e030d7c,2026-03-08
0d65cc78-a4db-4fd6-a6cf-607838f92f5b,6a0afa9d-a509-4d89-97d6-03729267f700,2026-01-30
834c25eb-4425-4bb1-b067-b4273f268019,b77fed40-a71b-4bd4-a0e8-a1e0a9fb64f8,2026-04-09
4e3a3179-f477-413d-88a0-fac430319753,ffdd5e3c-2213-45d8-92a2-b1ab959c2633,2026-03-30
85c58cc2-c7f6-46eb-8c5e-238f57c22126,4d35925f-dc08-4701-9635-b21566f083c8,2026-04-14
1413aefd-9da8-43b9-abd4-352f47c8a482,814bcd5d-6c43-4c9e-be13-506c8e025f59,2026-03-12
98971715-1b2f-45de-a2df-ed2814445829,64f05c24-9d94-4d30-b122-d3dc7b06d08c,2026-05-05
2d3d42f7-9c6e-407e-b994-083426d55a29,82a6e6d7-17fd-44a6-abbf-aeafb4449710,2026-06-09
290fdf88-9d24-4ac4-a57d-b7eaf6eb24c8,070ad95e-29db-45b2-979a-1b845c3baba2,2026-03-06
eba3dd20-b641-4cd1-80f6-02083725aa91,e8d45d93-84e1-47f1-be6e-3c5a89051023,2026-01-23
